mobile_price,mobile_color,dual_sim,disp_size,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,res_dim_1,res_dim_2,p_cam_max,p_cam_count,f_cam_max,f_cam_count,2G,3G,4G,4GVOLTE,5G
29999,Other,Dual Sim,6.5,Android Pie 9,8,2.96,64,6,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
36999,Red,Dual Sim,6.5,Android Pie 9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
36999,Other,Dual Sim,6.5,Android Pie 9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
17999,Other,Dual Sim,6.5,Android 10,8,2.05,128,8,4300,74.8,162.1,9.6,191.0,2400,1080,64,4,16,1,1,1,1,1,0
19999,Other,Dual Sim,6.4,Android Pie 9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
19999,Other,Dual Sim,6.4,Android Pie 9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
17999,Blue,Dual Sim,6.4,Android Pie 9,8,2.2,64,4,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
17999,Other,Dual Sim,6.4,Android Pie 9,8,2.2,64,4,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
20999,Other,Dual Sim,6.4,Android Pie 9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
19999,Blue,Dual Sim,6.4,Android Pie 9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
20999,Blue,Dual Sim,6.4,Android Pie 9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
20999,Other,Dual Sim,6.4,Android Pie 9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,64,4,32,1,1,1,1,1,0
6499,Blue,Dual Sim,6.1,Android Pie 9,8,2.0,16,2,4000,73.7,154.3,8.5,166.0,1560,720,13,2,5,1,1,1,1,1,0
11999,Blue,Dual Sim,6.5,Android 10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,48,4,16,1,1,1,1,1,0
25999,Blue,Dual Sim,6.57,Android 10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,16,2,1,1,1,1,0
24999,Blue,Dual Sim,6.57,Android 10,8,2.96,128,6,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,16,2,1,1,1,1,0
25999,Other,Dual Sim,6.57,Android 10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,16,2,1,1,1,1,0
27999,Blue,Dual Sim,6.57,Android 10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,32,2,1,1,1,1,0
32999,Blue,Dual Sim,6.57,Android 10,8,2.96,256,12,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,32,2,1,1,1,1,0
32999,Other,Dual Sim,6.57,Android 10,8,2.96,256,12,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,32,2,1,1,1,1,0
27999,Other,Dual Sim,6.57,Android 10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,64,4,32,2,1,1,1,1,0
8499,Black,Dual Sim,6.22,Android Pie 9,8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
9499,Red,Dual Sim,6.22,Android Pie 9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
9499,Blue,Dual Sim,6.22,Android Pie 9,8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
9499,Black,Dual Sim,6.22,Android Pie 9,8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
8499,Red,Dual Sim,6.22,Android Pie 9,8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
10499,Blue,Dual Sim,6.22,Android Pie 9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
10499,Black,Dual Sim,6.22,Android Pie 9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,2,13,1,1,1,1,1,0
9799,Blue,Dual Sim,6.22,Android Pie 9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,12,2,8,1,1,1,0,1,0
9799,Black,Dual Sim,6.22,Android Pie 9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,12,2,8,1,1,1,0,1,0
